,Body
2668,Wie können die Fixkosten so niedrig sein? Ich habe allein für Medien ein monatliches Budget für 100€.
2669,"ich finds schon ziehmlich bescheuert ein kind zu bekommen wenn man sich nicht selbst erhalten kann, aber jedem das seine"
2670,"Kopf hoch, 26 ist ja auch noch jung du hast ein top Studium abgeschlossen etc :)
Vl. mal im Ausland oder so umsehen?

Im Büro bei mir habe ich eine Kollegin, die 2 Studiengänge abgeschlossen hat, 9 Jahre älter als ich ist und für die selbe Arbeit jetzt nach meiner Lehrabschlussprüfung 400 Euro mehr netto verdient...^^

Da würd ich mir dann wirklich Sch**** denken ...."
2671,"... im kollegenkreis genauso offen wärt, würde euch das wesentlich mehr (nicht nur bei gehsltsvrrhandlungen) nützen."
2672,"38.000 brutto, wohl verschrieben denke ich?

Ich werde nie verstehen warum man bei knapp 1.000 € Miete, das Geld nicht lieber in Eigentum steckt als den Genossenschaften zu schenken."
2673,... und Deine Partnerin ;-)
2674,"8.139,26 X 14 = 113.949,64
http://onlinerechner.haude.at/bmf/brutto-netto-rechner.html"
2675,"Ja eh, ich liebe meine Sales-Leute! Ohne die würde es uns alle gar nicht geben... Wenn bloß nicht immer die Ausreden wären: Verkaufen's nix, ist die wirtschaftliche Lage Schuld, sind die Konjunkturdaten supertoll und die Kassen der Firmen voll war es aber nur ihr Verdienst das wir unser Produkt verkauft haben... LOL. Das sind jetzt Klischees. ;-)"
2676,"2340 netto/Monat  -- das sind ~4000 Brutto, also nicht die Welt... 

Die interessantere Frage wäre, was arbeitet der Herr? 

~4k Brutto sind in vielen Jobs mit ~30 Jahren nicht unüblich, sofern man was drauf hat."
2677,
2678,"Ich mag meinen Beruf sehr (auch wenn ich lieber im Streetwork arbeiten würde) - das schöne ist für mich tatsächlich, dass es kein 08/15 gibt."
2679,mehr als 50% davon in den Banken steckt... ich verstehe das ja schon...
2680,"Sollten sich mal ein paar Unterhaltspflichtige Männer hier melden,.  Da sieht die Situation dann nämlich ganz anders aus..  
Und ja zu so einer Situation gehören meistens 2."
2681,Aktivität auf dem Aktienmarkt ist einigermaßen ausgeprägt. Muss ich fairerweise dazusagen.
2682,"Die Schnitzel um ÖS 40,-- musste man aber in den 80ern auch schon mit der Lupe suchen. Bzw. hat man vorsichtshalber einen Bogen darum gemacht."
2683,"43, Single, 2800 Netto im Monat (mal 12 weil Selbständig). Fixkosten 1800,-- (Kredit Haus, Leasing-Auto und diverse Betriebskosten).
Bleiben unterm Strich ca. 1000 Euro zur Verfügung. Bissal was sparen und das Leben genießen.

Ich habe genug und bin zufrieden. Geld ists trotzdem immer zu wenig ;-)"
2684,Alleine definitiv ja (für mein Verständnis). Mit Familie eher nein. Kommt immer auf den Vergleich an.
2685,Na dann melde ich mich mal...2000ntto / Monat. Übrig bleiben 800.
2686,"ich möchte mich aufrichtig bei ihnen dafür entschuldigen
falls es was hilft: geplant wars nicht"
2687,"Interessant was man hier so liest. Ich hab studiert, einen Titel und bekomm weniger als ein ungelernter Bauhackler. Das wusste ich schon davor, ich liebe meine Arbeit, ich will nichts anderes machen. Natürlich muss man zurückstecken, Wohnung klein, Urlaub meh, kein Fernseher, alles billig, sollte irgendwas kaputt gehen hab ich ein großes Problem. Obs nach dem Doktor besser wird weiß ich nicht, aber ich hatte schon mal viel Geld in einem Job den ich gehasst hab, jetzt hab ich lieber wenig Geld in einem Beruf den ich liebe."
2688,"Ich werde öfters (vor allem inm Inland) bez. Einkommen angesprochen, aber meinen Job will dann doch niemand selbst haben, für die meisten sind Ortsfestigkeit, strukturierte, planbare Arbeits- und Urlaubszeiten, Freizeit und Familientauglichkeit wichtiger."
2689,"OK. Stimme ihnen zu, dass manches einfacher geht (hauptsächlich aufgrund der EU) - aber die Möglichkeiten gab es vor 20/30 Jahren auch schon.

Jobwechsel ins Ausland, Studentenaustauschprogramme, Reisefreiheit (zumindest im Westen) gab's auch - aber wenn sie wollten, konnten Sie auch in die DDR fahren....

Währung und Einkaufen war natürlich schwieriger - die Welt ist ""globaler"" geworden. Das stimmt."
2690,"...ich Bsc, 1900/Monat/netto bis letztes Jahr, ab Herbst Elternteilzeit dann ca 1200 netto. Mein Mann Mag. 2000/Monat/netto. Leider immer nur Jahresverträge (Forschung :P ). Fixkosten 1000€. Baby geht sich gut mit Familienbeihilfe aus. Sind trotzdem froh dass es willhaben uä gibt. 
Die Ungewissheit mit den Jahresverträgen ist furchtbar. 
Aber eigentlich geht es uns gut, Kind gesund, Mietwohnung mit gedeckelter Miete und schöner Terrasse. Grosse Sprünge machen wir halt keine. 

Natürlich wär ""mehr"" besser, aber eigentlich triffts ""Zufriedenheit"" ganz gut."
2691,"Also an Ortsfestigkeit, strukturierten, planbaren Arbeits- und Urlaubszeiten, Freizeit und Familientauglichkeit wärs nicht gelegen :-) Davon hab ich auch nicht so viel. Der Tätigkeitsbereich (Finanz/Controlling) wär nix für mich. Mein Papa war oberster Erbsenzähler einer ziemlich großen Firma :-)"
2692,"Ich hoffe die Beziehung hält, dann wird auch der Rest gutgehen."
2693,Soso
2694,"erfahrenen Leuten kann enorm sein.
Deswegen beim ersten Job durchbeißen, Erfahrung sammeln, soviel KnowHow wie möglich aufbauen und dann wechseln."
2695,das frei verfügbare Einkommen nach den Fixkosten.
2696,"Anfang 20, Jus Student in Wien.

220€ Familienbeihilfe
ca. 100€ aus GR Tätigkeit (wird aber gespart)
Meine Eltern gönnen mir auch nochmal 100€ / Monat.

Nebenbei  arbeiten geringf. als Dachdecker im Unternehmen eines Bekannten an den Wochenenden.

Wohnung der Freundin in Wien (zum Glück verlangt sie keine Miete ;-) ) an 3 Tagen die Woche.

Spritkosten für ein Kfz trage ich.

Alles in allem darf man sich nicht beschweren."
2697,"Ist halt eine Frage der Definition. Wenn man mit Oberschicht nur die Reichen erfassen will, haben Sie sicher Recht. Mit o.a. Definition der Mittelschicht ging sich das aber auch damals kaum aus. Die Mittelschicht - im Sinne von Durchschnittsverdienern - konnte sich auch in den 80ern kein Designerhaus und Porsche leisten - insbesondere mit 3 Kindern. Obwohl der 924er ja eigentlich kein (richtiger) Porsche war (kann mich an die Details der Serie nicht mehr erinnern). Guldenburgs habe ich zum Glück nie gesehen."
2698,"32, selbstaendig. Verdiene so 2500 bis 3000 netto mal 12, schwer zu sagen wieviel genau. 
Brauche so ca 1200 pro Monat, hauptsaechlich fuers Wohnen."
2699,"bei rund 1000 netto für 20 Stunden.

Mehr kann man als Student kaum rausholen denke ich."
2700,
2701,"selbst ein relativ guter Verdienst hilft keineswegs, durch die gläserne Decke ""Wohlstand"" zu stoßen.
Es kommt auf das an, was vererbt wurde, auf Eigentum und Kapital.
Alle anderen werden auch in Zukunft ""nur so"" über die Runden kommen.
Manche besser, manche schlechter."
2702,"Naja, früher gab's das (zumindest am Land) vor 20 Jahren nur vom Hörensagen. Da hat das mit diesen Eramsus-Sache so langsam angefangen. Heutzutage ist es ja fast schon die Ausnahme, wenn man nicht ein, zwei Jahre im Ausland verbringt.

Vor allem die europäischen sind durch die EU schon sehr zusammengewachsen. Wenn man da mal ernsthaft zurückdenkt (wenn man die Zeit noch kennt), dann checkt man erst, wie sehr zum Positiven sich die Welt eigentlich verändert hat. Vor allem, wenn man im Osten Österreichs wohnt - denn das war früher ja beinahe schon das Ende der (westlichen) Welt. Wobei ja selbst nach 20 jahren immer noch die Wunden der Vergangenheit zu sehen sind."
2703,"Ich es nochmal genau durchgerechnet: es sind 41000€.

1.) Es ist eine reine Mietwohnung

2.) Eigentum in Lage, in der Größe: Gesamtkosten: 400000€-430000€---> nicht leistbar

3.) EinenKredit bekomme ich für so ein Objekt gar nicht und werde mir dafür auch keinen nehmen.

4.) In ein paar Jahr werden wir uns ein Eigentum in günstigeren Lagen suchen.

5.) Ich habe kein Auto! Wozu?

Natürlich könnte es in jedem Gebiet mehr sein, aber ich bin zufrieden."
2704,was haben sie studiert und wieviele jahre sind sie schon im job?
2705,"Also mit 65000 im Jahr, würd ich Sie schon eher zum reicheren Teil der Bevölkerung zählen...."
2706,"Abzüglich unterhalt oder abzüglich allen monatlichen Kosten inklusive Miete, evtl. Auto etc?"
2707,"23, HAS-Abschluss und Berufsreifeprüfung 2400Brutto/Monat"
2708,"Respekt, da kenne ich einige Akademiker die weitaus geringer eingestiegen sind."
2709,"Es ist sowieso eine fürchterliche Eigenheit um das eigene Gehalt so ein Tamtam zu machen. Zu Studentenzeiten war die zweite oder dritte Frage nach ""wo arbeitest du"" gleich ""wieviel pro Stundet"" - sobald man ein paar Jahre älter geworden ist drucksen alle herum wie wenns ein Staatsgeheimnis wär"
2710,"Selbstständig + gesundheitliche Probleme - arbeite und verdiene also weniger, als ich wollen würde. Kann mich trotzdem nicht beschweren, schätze so 1600 netto/Monat und versuche noch mein Studium fertig zu mache (""nebenbei"" - Master Informatik). Fixkosten:
- Wohnung 800 (wohne mit Freundin)
- Heizung, Strom, Internet/TV, Versicherung, Handy, Fitnesscenter, Zeitungsabo ~200
- für Essen, Urlaub, Sparen, Fortgehen.. bleiben 600 

Ich esse gerne Fleisch und abwechslungsreich, daher gebe ich eigentlich die vollen 600 EUR fürs Essen aus. Zum Fortgehen kommt man krank, mit Arbeit und Studium eh nicht :D Urlaub hat es schon eine Weile nicht gespielt, kaputt sollte nix werden.. sparen ist lächerlich :D Weiß aber, dass ich leicht einsparen kann"
2711,was sind Medien?
2712,"Auch wenn nicht mein persönlicher Zugang ist, so gibt es dennoch viele Menschen die eben keinen Kredit wollen - und sich nebenbei mal so die 200.000+ anzusparen die man für eine ordentliche Wohnung oder ein Haus (das nicht im hintersten Waldviertel liegt) braucht kann nunmal nicht jeder."
2713,also meine liebe zum beruf würde mit weniger geld sofort zu schwinden beginnen..
2714,"Ihre Rechnung geht einfach nicht auf, wenn Sie nicht über Ihre Verhältnisse leben...sehen Sie's einfach ein."
2715,
2716,"Ich möchte die Firmen in denen wir arbeiten natürlich nicht namentlich verraten aber ja, meine Frau arbeitet für einen Konzern und ich für ein mittelständisches Unternehmen. Wir haben beide unten in der Hierarchie angefangen und uns durch starken Einsatz am Anfang der Karriere sowie nutzen von ""kritischen Situationen"" nach oben gearbeitet. Wenn man dann die richtige Leistung zum richtigen Zeitpunkt mit richtigen Ergebnissen liefert fragt irgendwann keiner mehr nach Schulabschlüssen. Alles eine Frage der Taktik und des Ehrgeizes."
2717,"hm, mit schon 50 Jährchen, ca 2900 brutto im Monat und keinerlei Chance auf weitere Gehaltserhöhung.
Keinerlei Eigentum wenn man den gebrauchten 12 Jahre alten Opel nicht als solches betrachtet (weil eher Sparkasse..)

Miete zahlen und sonstige Nebenkosten macht ca 900 im Monat, bleiben 1000 zum Ausgeben, somit etwas mehr als 30 € pro Tag. Das geht sich aus, aber Theater, ""gutes"" Essen, etc, muss ich mir verkneifen.
Urlaub geht sich gerade mal aus, wenn man mit billigen Hotels Vorlieb nimmt. Ok, Hawai werde ich wohl nie sehen.
Eigentumswohnung oder sowas?? Wäre vor der großen Krise ev. erreichbar gewesen, aber seit der Preisexplosion am Wohnungmarkt, nicht mehr dran denken. Weiter brav zahlen und hoffen, dass es noch Pensionen gibt..."
2718,"wie lange wird man brauchen, um sich damit eine 3-Zimmer Eigentumswohnung oder ein Haus in der Nähe einer halbwegs größeren Stadt zu kaufen ? 20 oder 25 Jahre ?
Was ist daran ""reich"" ?"
2719,"Aussichten auf Gehaltssteigerungen sind aber äußerst schlecht, da wir ja immer noch in der ""Krise"" sind. Kann mir nicht vorstellen, dass ich je einmal zu den 100k komme. 

Haus oder Wohnung zu kaufen, mit 2 Kindern, wenn 1 Teil in Karenz ist, spielts zur Zeit nicht. Und ich denk mir ich hab noch was studiert, was am Arbeitsmarkt begehrt ist und mich zu einem Dr. auch noch geschunden, da sollte ein bescheidenes Haus am Stadtrand doch im Bereich des Leistbaren sein, aber wenn ich ehrlich rechne muss ich zugeben, dass ich mir das nie und nimmer leisten kann. Der Vater meiner Freundin (Elektriker bei staatl. Konzern) hat damals ein Haus zu gebaut, obwohl die Frau ein Leben lang Hausfrau war, sowas geht heut nicht mehr."
2720,gratuliere!
2721,Ich bin wohl irgendwo in der oberen Mittelschicht. Von Reich weit entfernt auch wenn ich mit dem erreichten sehr zufrieden bin.
2722,"Reicher Mann und armer Mann
standen da und sahn sich an.
Und der Arme sagte bleich:
""Wär ich nicht arm, wärst du nicht reich"""
2723,mich fasziniert der Schiurlaub am meisten. Und da kostet die Woche definitiv mehr als 500€. Gerade weil eben auch die Preise angezogen sind weil auch die Steuern der Arbeiter im Urlaubsgebiet gestiegen sind.
2724,"Ja, die Immobilienpreise in Wien sind ein Problem. Ich hab vor 20 Jahren gekauft. Da ging das noch leichter. Abgesehen davon: Mit 30 hatte ich auch noch (deutlich) weniger Einkommen."
2725,"Internet, GIS, Sky, Spotify und Konsorten."
2726,"65 brutto im Jahr sind 2700 netto pro Monat.
Damit ist man sicher weit entfernt von reich.
Vor allem wenn noch 2 Kinder da sind."
2727,"also ich esse liebend gerne und ich esse auch sehr gerne sehr gut. Aber 600€ dafür monatlich rauszuschleudern ist mir nicht nachvollziehbar. 

Wenn sie wirklich jeden Tag ein Premiumteil vom Rind/Lamm/Fisch essen, dann sollten sie sich unter Umständen auch ein paar Papers zu dem ganzen Fleisch und Eiweiskonsum durchlesen - der Gesundheit wegen ;-)"
2728,"also wenn ich das alles hier lese dann hab ich das
gefühl es geht allen eh bestens- bei diesen gehältern...davon
kann ich nur träumen...obwohl ich brauch net viel - reich ist der,
der wenig braucht und nicht der, der viel hat ;-)
btw.: obwohl ich in meinem freundeskreis sicher am 
wenigsten verdiene hab ich trotzdem am meisten geld auf
der kante...ohne erbe mehr als 100k..."
2729,"Naja, Luxusprobleme und keine wirklichen Fixkosten.

Ich zahle genau 30€ Internet und 12€ Handy an ""Medien""."
2730,"ups hab mich bei den Fixkosten vertippt: sind 1300 - 1500 (mit Jahreskarten, Kreditrückzahlung, Telephone, Rücklagen fürs Kind usw). 
Bis vor kurzem hat mein Mann 1400€/Monat/netto verdient. Unsere Situation ändert sich einfach immer wieder..."
2731,"Natürlich ist das Luxus. Ändert aber nichts daran dass die Beträge monatlich fällig sind und deshalb sehr wohl Fixkosten. 
Dass es im Falle eines finanziellen Engpasses die ersten Streichposten sind ist klar."
2732,"Und wer in Ungarn (in derselben EU) mit 2 Diplomen, nach 15 Jahren in der Schule als Lehrer 557 Euro im Monat verdient?"
2733,"naja, naja..."
2734,
2735,"Also ich komm ned ganz auf 15.000,-- netto im Jahr, arbeit dafür aber nur halbtags und bin voll zufrieden. Auch die Arbeit und das Arbeitsklima taugen mir und das ist mir wesentlich mehr wert als Geld.
Hab mich mal ordentlich ausgebrannt und gehs seitdem ruhiger an. Möcht dran auch ned so schnell was ändern!"
2736,"33, bwl, 6K netto, allerdings nicht im slaving-bereich (bank, beratung...) sondern in der industrie, zeitaufwand also vertretbar. soweit so gut, komme ohne kinder dementspr. gut über die runden. downside: hab mich damit nicht verwirklicht und beneide jeden der mit einem leuchten in den augen von seiner tätigkeit erzählt.(ja diese leute gibts!!) das ist das nächste ziel."
2737,"Reich wird man nicht durch das Geld, das man verdient, sondern durch das, das man nicht ausgibt."
2738,bei mir hat nur jene Partnerin eine Chance bekommn die auch meinen Lifestyle anerkennt & teilt.
2739,Würde ich soziale Hängematte nennen.
2740,"zwischen den genannten ""mittelschicht""-einkommen und ausschlafen.. ich würde letzteres wählen ;)"
2741,"na geh, für 600,- bekommen Sie nichtmal eine Flasche Romanee Conti."
2742,"Kanton?
Ich war bis vor eineinhalb Jahren auch in der Schweiz (VD), aber da ordentlich darüber."
2743,"Ja mit meinem derzeitigen Gehalt hab ich auch kein wirkliches Problem, was mich ein wenig frustriert sind die fehlenden Perspektiven. Ich denke nicht, dass unsere Generation noch so einen Gehaltsanstieg erleben wird. Ich sehe bei mir ja auch überhaupt keine Gehaltsentwicklung. Ich weiß genau was ich in 5 Jahren bekomme, nämlich (ohne Inflationsangleich), die 100 € brutto mehr, die ich durch meine Vorrückungen bekomme."
2744,
2745,"Hab nix geerbt, keinen Anschieber gehabt und trotzdem was erreicht (also Mut ihr Jungen!) ; Habe jedoch eine gute Ausbildung (HAK und Uni) genossen. Schulde also der Gesellschaft (nicht dem Staat) wirklich was. 2014: 78.000 Euronen Lohnsteuer bezahlt. Auch gut - als Äquivalent bekomme ich, außer den dämlichen Gesichertern unserer Gewählten Repräsentanten bei TV Shows nix. Ich sichere mit meinem Betrag nämlich nicht die Zukunft der nachkommenden Generation - sondern bereite das Bett für Grenzleister unserer Gesellschaft (siehe: die ""Gewählten""). Effiziente und zielsichere Umverteilung fein - doch das was bei uns abgeht treibt mich eher in eine Psychose - danke Heta et. al."
2746,-kann +wird
2747,"Steht doch da, dass es abweicht, je nachdem wie man die Statistik legt?"
2748,"ich wollt sowas immer haben, nie bekommen."
2749,"unser haushaltseinkommen ist ca. 2100€ (netto) - wir sind zu 2., keine kinder
mietwohnung im 8. kostet mit allem drum und dran 900€
wir gehen regelmäßig essen, fahren mehrmals im jahr in den urlaub - im winter waren wir sogar 2 wochen in asien
sparen tun wir auch nicht wie org - man kauft hald bewusst ein, verschwenden nichts etc.

was will man mehr? wir haben zeit und genug geld, obwohl sich viele leut garnicht vorstellen könnten mit so ""wenig"" geld leben zu können"
2750,"nur mehr durch Erbschaft weitergegeben werden haben wir doch schon.

Es ist nur mehr eine Frage der Zeit bis 90% bei 1% angelangt sind, dann sind die restlichen 99% Lohnsklaven oder Sozialleistungsabhängige."
2751,warum sollte jem. in einem anonymen forum lügen?
2752,"mhm... bei meinen eltern wars ähnlich. damit haben sie aber schlicht begründet: wir hattens auch schwer, du sollsts auch schwer haben, dann lernts was. fahren mittlerweile in der pension 4 mal im jahr auf fernreise."
2753,"mittelschicht mit 1090 netto?

irre!

mein bruder verdient so viel und wohnt immer noch bei mama weil er sich eine eigene nicht leisten könnte."
2754,"Sie sind ja nicht bei Ihrem Arbeitgeber angeschraubt. Oder ist das so eine spezielle Ecke, dass es da keine Bewegungsmöglichkeiten gibt?"
2755,"Wenn ich sehe wie viele Studenten + Schüler in Wien ""teuer"" fortgehen, dann muss ich schon sagen: Mittelschicht lässt grüßen oder ""alles dem Suff"".

Eintritt legst schon überall einen 10er ab und ein Student wird sicher jede Woche einen draufmachen. Wohnen muss er dann ja auch noch, sofern Mama und Papa nicht aus Wien sind."
2756,
2757,"Also das ist echt Top.
Hut ab von dem Sparen."
2758,"Arbeitsstunden im Schnitt 48-50 pro Woche, regelmäßig Nacht-und Wochenendarbeit, Nettogehalt total zwischen 3200 und 3700 je nachdem."
2759,abzüglich Unterhalt. Ohne irgendwelche Fixkosten. Das größte Verbrechen in Österreich gegen sich selbst ist es Kinder zu zeugen. Und wer mit vorsatz handelt heiratet vorher noch aus Liebe...
2760,"war ich zu hart zum fiktiven mechaniker? kann der kein prolo wein, obwohl er gut verdient? oder woran liegts?"
2761,der sollte nach Österreich kommen
2762,"Weil man nicht die nächsten 20 Jahre einen Kredit abzahlen möchte, weil ein Eigenheim neben dem Kredit auch einiges kostet, weil man zu wenig Eigenmittel auf der Seite hat, weil man keinen Kredit kriegt, weil man keine passende Eigentumswohnung gefunden hat, weil man nicht die nächsten 20 Jahre in derselben Wohnung bleiben möchte, weil....
Gründe gibts genügend!

Leider muss ich auch sagen, 1000 für eine gute Mietwohnung ist mittlerweile durchaus normal."
2763,"Ende 20, Berufsmörder. Ist halt mit den Tücken der Selbstständigkeit verbunden. Je nach Auftragslage gibt's mal mehr und mal weniger. 2014 hab ich sicher gut 30.000€ versteuert. Im internationalen Vergleich verdient man in Österreich als Berufsmörder eher schlecht. Immerhin fällt man um die Gefahrenzulage um, weil's in Österreich ja keine Todesstrafe gibt.
An Wochenenden arbeite ich manchmal ohne Rechnung. Das bessert das Gehalt dann doch auf. Allerdings macht mir das moralische Dilemma an der Steuer vorbei zu werkeln doch manchmal sehr zu schaffen."
2764,"Wer nicht viel verdient, kann nicht viel ausgeben und noch weniger nicht ausgeben."
2765,"paui-waui... Also den Job tät ich auch nimmer hergeben :-) ich komm bei 32h Radldienst netto nur in guten Monaten auf 1800 netto. BAGS, 10 Jahre, Stufe 7 (leider). Hatte auch schon Stufe 8, ohne Radldienst, da gehen sich bei 30h netto nur 1450 aus."
2766,"""Mittelschicht ist wer nicht arm ist"" - seltsame Definition, dann kann man mit weniger als dem (angestrebten) Mindestlohn zur Mittelschicht gehören."
2767,In Österreich?
2768,"man will ja nicht zu viel Gehalt zahlen müssen.
Deshalb auch der ""Erfolg"" der FHs, da kann man für gleiche Positionen 1/4 weniger zahlen.
Und Führungskräfte in den oberen Positionen braucht man nicht viele."
2769,Das wollte ich auch gerade fragen! Kann ich mir sonst nicht vorstelle
2770,"Ist man wirklich gute Zitat ""immer die techn. komplexesten Teile umgehängt"" dann ist das auch kein großes Problem."
2771,ertappt! in D
2772,"Hab nochmals nachgelesen und bin schockiert: Man kann zur ""Mittelschicht"" gehören und trotzdem arm sein! Ein Paar, beide verdienen jeweils 600 netto, beide somit wirklich arm! Sie wohnen zusammen mit - sagen wir mal 2 Kindern - laut Haushaltseinkommen Mittelschicht! Nur - wie sollen die überleben und wer wagt es, sowas Mittelschicht zu nennen?"
2773,
2774,
2775,"alleine schon wegen dem Namen.
Aber wehe wenn der Fränk dich erwischt hätt!"
2776,"Wenn Österreichs Wirtschaft so weitermacht dann braucht man sich über die Abwanderungsstatistiken garnicht wundern........Als Industrienation, wo man mit der ""Mittelschicht"" prallt und trotzdem den Cent 5 mal umdrehen muss ist schon fraglich.

Im Schnitt sehe ich Österreich vergleichbar mit anderen Hochentwickelten Staaten sehr abgeschlagen, zum einen wegen der perversen Politik die die falschen Bevorzugt, zum anderen auch die Wirtschaft in Zusammenhang mit der EU (Preisdumping)"
2777,"keine wirkliche Chance auf Wohlstand erhalten.
Es bleibt dabei dass eine ganz kleine Schicht von Erben, die von der VP geschützt werden, die einzigen Gewinner sind."
2778,Bei Mittelschicht steht aber Haushalt.
2779,
2780,sobald ich einen gefunden hab.
2781,"Lieber Herr/Frau Fotzibär,

danke für Ihre aufmunternden Worte. Das rote Stricherl finde ich dennoch nicht angebracht, handelt es sich bei dem von mir Geschriebenen, als nichts anderem als die reine Wahrheit."
2782,"Gerechtfertigt ist es dann, wenn es weit mehr einbringt als kostet.
Mir ist auch ein Verkäufer mit 20k Spesen und 500k Auftragsvolumen lieber als einer mit 5k Spesen und 200k Auftragsvolumen."
2783,"46 Jahre, weiblich, ca. 35K brutto im Jahr, alleinstehend, keine Kinder, mittlerer Schulabschluß aber mehrere Berufe, Vollzeit, Miete fast keine, da Eigentum. Ja, es reicht auf alle Fälle. Man muss halt Prioritäten setzen und nicht sinnlos verwerkeln. Dann ist auch mal Luxus drin, wie ich ihn definiere. Allerdings ist die Steuerbelastung hier enorm. Es bleiben nur 1700 netto übrig."
2784,"wir sparen nicht, wir leben so"
2785,"wer mehr als 2347 netto verdient im monat, gehört meiner meinung nach nicht mehr zur mittelschicht. so viel braucht (!!) doch niemand"
2786,"ich hab fliesendes wasser, ein dach überm kopf, viele supermärkte in der umgebung mit ausreichend verpflegung, kann auf die strasse gehen und sagen was ich will, und wenn ich mir wehtu kann ich mir sogar das spital aussuchen, bin total zufrieden. 

ausser wenn ich mir die fetten bankiers, polit und versicherungsbonzen anschau die in ihren fetten karren fast ersticken, denk ich mir, dass eine grundsicherung in mittelschichthöhe noch fehlt - das sollten wir uns leisten können."
2787,sehr witzig...
2788,ich bin Didi Mateschitz
2789,"Am besten einfach nicht mehr arbeiten würde der Hausverstand sagen... kann Sie aber verstehen, nicht vom Staat abhängig sein zu wollen"
2790,"Der ""Vorstand mit 30k/M"" ist weniger das Problem, er zahlt relativ viel Steuer, der reiche Erbe und der steurtricksende Konzern aber schon."
2791,
2792,Vielleicht mit der Postleitzahl?
2793,"Will man Kinder, muss man bereit sein, sich einzuschränken. Punkt."
2794,mich würde interessieren was jemand der ab 3000 netto verdient an wochenstunden arbeitet.  Ich habe einen job der mir spass macht und ich muss fast keine überstunden machen (1-2/monat). 2000 netto. Bin um 15:30 zuhause und kann mit meiner frau und meiner tochter den nachmittag verbringen. Natürlich könnte ich mir auch einen job suchen wo ich 3000+ verdiene aber für was? das ich mein kind am abend für 2 stunden sehe bevor es ins bett geht. das ich mir einen suv kaufen kann. da ist mir meine zeit mit der familie viel wichtiger.
2795,scherzerl ? meine 4 zimmerwohnung in vorarlberg kostet schon 1500.- warm. 2 kinder.. auto...auch mit 2500 netto machens da keine grossen sprünge mehr.
2796,"zählte ich (mich ) in der tat zur Mittelschicht . 
seit ich 8020  PLZ habe, schon etwas abgesandelter. aber noch oben genannter betragsgrenze bin sogar ich noch dabei ,-) obwohl ich mich nicht mehr - ökonomisch - dazu zählen würde."
2797,"Mich würde ja interessieren was jemand mit 3000+ netto an wochenarbeitsstunden hat. Ich arbeite 38.5 stunden in einem tech. Büro (HTL ausbildung) 2000 netto so gut wie keine überstunden (20/jahr)  bin um 15:30 bei meiner familie zuhause und habe noch genügend zeit mit ihnen. ich könnte mir auch einen job suchen wo ich 3000+ verdiene, aber worauf müsste ich verzichten?   auf meine familie. Das ist es mir nicht wert. Was habe ich vom geld? Ich lebe nicht für die arbeit. was habe ich von einem grossen auto, einer reise in die karibik,....... ? Da bin ich lieber live dabei wie mein kind gross wird und verzichte lieber auf unnütze konsumgüter."
2798,
2799,
2800,"Haushaltseinkommen mit Kindergeldern: knapp 5000€, Miete RH in Wien 780€. Jeweils 37,5 Stunden Jobs. Beklagen koennen wir uns nicht, aber reich wird man auch nicht. Ausgaben für Kinder, Versicherungen usw. machen schon ein Patzen aus."
2801,"Mit Sachbezug (Firmenwagen) noch etwas weniger. Dafür habe ich den Bonus nicht inkludiert den es in den letzten Jahren meist gegeben hat und teilweise recht attraktiv war. Aber ja, manche haben eine eigenwillige Vorstellung von Reichtum."
2802,"wer zw. 1090 und 2347 mal 12 verdient... Das ist doch ein Witz! Das wird so definiert, damit wir alle die Schnauze halten, weil wir eh alle zur oberen Mittelschicht gehören bzw. reich sind und es uns eh suuuper gut geht. Was san denn dann unsere Nationalratsabgeordneten oder Bundesratskasperl oder Landtagsfiguren, etc. Unglaubliche Ver*rsche!"
2803,schluck - bisher hab ich Sie eigentlich für einen arzt gehalten. so kann man sich täuschen ;-)
2804,Dazu noch projekte und selbstaendige taetigkeit. Gibt halt wochen mit bis zu 110 stunden.
2805,"Akademiker (techn.), 36 Jahre, 70500 Brutto/Jahr. Obwohl ich das Studium meiner Frau zum Teil mitfinanziere, lässt sich damit gut auskommen. Da wir gerade auf ein Eigenheim sparen, haben wir ein wachsames Auge auf unsere Ausgaben."
2806,"Danke.

Aber selbst in diesem Bereich gab es in den letzten 30 Jahren massive Steuersenkungen. - Inflationsbereinigt zahlte man in den meisten Industriestaaten für solche Einkommen in den 80ern noch 50, 60, 70% an Steuern (in der Höchststeuerstufe). Und nicht nur 43% wie in Österreich.

Diese Schere bei Einkommen und Vermögen kommt ja icht von ungefähr, das ist politisch so gemacht. - Weil halt das Vermögen bei freiem Kapitalverkehr viel mehr Erpressungsmacht hat, als der kleine Arbeiter - der nicht einfach nach Luxemburg oder Irland geht, wenns er bei uns mehr Steuern zahlt."
